Nom de l'enseigne,Adresse,Ville,Téléphone,Mail,Site internet,Vente de vélos neufs Classique Mécanique,Vente de vélos neufs Classique VAE,Vente de vélos neufs Pliant Mécanique,Vente de vélos neufs Pliant AE,Vente de vélos neufs Cargo Mécanique,Vente de vélos neufs Cargo AE,Vente de vélos neufs autres,Essai possible avant achat,Location Classique Mécanique,Location Classique VAE,Location Pliant Mécanique,Location Pliant AE,Location Cargo Mécanique,Location Cargo AE,Locations autres,Vente de vélos d'occasion,Réparation de vélos hors SAV,Rdv pour réparation,Ventes de remorque,Vente accessoires,Offre pro,Code postal,Ventes,Location,Réparation,latitude,longitude,Type entreprise
ASSBIKE,"4 bis, rue des Orfèvres",Les Sorinières,02 40 40 21 47,assbike@gmail.com,http://www.assbike.com/,True,True,,,False,False,,,False,False,,,,,,,True,,,,False,44840.0,True,False,True,47.14936600456563,-1.5427211311116402,Entreprise
OBO-Bike,"384, route de Vannes",Orvault,02 51 78 67 13,contact@obo-bike.com,https://www.obo-bike.com/,True,True,,,False,False,False,,False,,,,,,,True,True,True,,,False,44700.0,True,False,True,47.25657864436956,-1.6354637104060932,Entreprise
Intersport,ZAC La Bérangerais,La Chapelle-sur-Erdre,02 51 12 92 92,velo.intersport.cgr@gmail.com,https://www.intersport.fr/,True,True,,,False,False,,,False,False,,,,,,False,True,,,,False,44242.0,True,False,True,47.28313892025624,-1.552837590966181,Entreprise
ROYAL BIKES,1 Route de Vannes,Nantes,02 40 26 19 59,royal.bikes44@orange.fr,https://www.royal-bikes-nantes.fr,True,True,False,False,True,True,True,False,True,True,False,False,True,True,True,True,True,False,False,True,True,44100.0,True,True,True,47.233036106603954,-1.578287008956252,Entreprise
CYCLE DE LOIRE,48 rue de Nantes,Thouaré-sur-Loire,02 51 13 77 12,Cycledeloire@gmail.com,https://www.cycledeloire.fr/,True,True,,,True,True,False,,True,,,,,,,True,True,,,,False,44470.0,True,True,True,47.26310440701698,-1.445525472215269,Entreprise
[NOGEOM] Service Ambulant Vélo,Atelier Nomade,Nantes,06 30 07 25 04,nantes@sav-velo.com,https://www.sav-velo.com/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,,True,False,True,47.239987212891336,-1.5479601246094254,Entreprise
RVLO,13 Boulevard des Martyrs Nantais de la Résistance,Nantes,06 58 62 38 36,rvlo@outlook.fr,https://www.rvlo.fr/,False,False,,,False,False,False,,False,False,False,False,False,False,False,True,True,,,,True,44000.0,True,False,True,47.20421883195309,-1.546392674004509,Entreprise
ECOX Nantes Sud Loire,82 route de Clisson,Nantes,02 53 35 20 94,nantes.sud@ecox.fr,https://www.ecox.fr/,False,True,,,True,True,False,,False,True,,,True,True,True,True,True,,,,True,44000.0,True,True,True,47.19047412322363,-1.5212799034359412,Entreprise
CYCLABLE NANTES BEAUJOIRE,10ter boulevard de la beaujoire,Nantes,09 74 04 43 69,nantes-beaujoire@cyclable.com,https://nantes-beaujoire.cyclable.com/,True,True,,,True,True,False,,False,False,,,False,False,False,False,True,,,,True,44300.0,True,False,True,47.25928982950128,-1.510738131479699,Entreprise
[NOGEOM] RV'LO,Atelier Nomade,Nantes,06 58 62 38 36,rvlo@outlook.fr,https://www.rvlo.fr/,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,False,False,True,47.23950773588267,-1.548520055342986,Entreprise
